Ticker,Ticker_Name,Factsheet
ACDS76,ACDS76_中國信託2026年到期新興優先順位債券基金(台幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS76&b=58323&c=653
ACDS77,ACDS77_中國信託2026年到期新興優先順位債券基金(美元),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS77&b=58323&c=654
ACDS73,ACDS73_中國信託20年期以上BBB級美元公司債券ETF基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS73&b=58324&c=651
ACDS61,ACDS61_中國信託MSCI中國外資自由投資50不含A及B股ETF基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS61&b=58328&c=652
ACDS62,ACDS62_中國信託MSCI中國外資自由投資50不含A及B股單日正向2倍ETF基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS62&b=58328&c=653
ACDS66,ACDS66_中國信託中國國債及政策性金融債7至10年期債券ETF基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS66&b=58326&c=655
ACDS44,ACDS44_中國信託六年到期新興主權債券基金(台幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS44&b=58332&c=648
ACDS45,ACDS45_中國信託六年到期新興主權債券基金(美元),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS45&b=58333&c=650
ACDS21,ACDS21_中國信託台灣活力基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS21&b=58338&c=649
ACDS35,ACDS35_中國信託全球不動產收益基金-分配型(人民幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS35&b=58337&c=653
ACDS33,ACDS33_中國信託全球不動產收益基金-分配型(台幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS33&b=58336&c=650
ACDS34,ACDS34_中國信託全球不動產收益基金-分配型(美元),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS34&b=58336&c=651
ACDS30,ACDS30_中國信託全球不動產收益基金-累積型(台幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS30&b=58336&c=647
ACDS52,ACDS52_中國信託全球短期高收益債券基金-I累積型(台幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS52&b=58339&c=654
ACDS53,ACDS53_中國信託全球短期高收益債券基金-I累積型(美元),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS53&b=58339&c=655
ACDS54,ACDS54_中國信託全球短期高收益債券基金-I累積型(歐元),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS54&b=58340&c=648
ACDS83,ACDS83_中國信託全球短期高收益債券基金-NB分配型(人民幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS83&b=58342&c=652
